page_id,page_name,disclaimer,amount_spent,number_of_ads,organisation_type
1160563597403601,Suomen Olympiakomitea,Suomen Olympiakomitea,1105,30,Ry
180273268847212,Savo-Karjalan Kokoomus,Savo-Karjalan Kokoomus,1066,60,Kok
317761004927887,Ylöjärven vasemmisto,Ylöjärven vasemmisto,1053,31,Vas
431958966986115,FSC Suomi,FSC Suomi,1048,15,NaN
54313274188,Naisten Pankki,Naisten Pankki,1037,68,Ry
1582838445264672,Pirkanmaan Keskusta,Pirkanmaan Keskusta,1027,13,Kesk
200739723082,University of Helsinki,Helsingin yliopisto,1027,17,Yliopisto
117655354983768,Etelä-Saimaa,Etelä-Saimaa,1022,29,Maakunta
281523996677,Suomen Yrittäjät,Suomen Yrittäjät,1017,5,Ry
268129704022,Lapin Kokoomus,Lapin Kokoomus ry,1016,39,Kok
101891085670803,Espoon Kansallisseura,Espoon Kansallisseura,1015,16,Kok
170620476312208,Varsinais-Suomen Keskusta,Keskustan Varsinais-Suomen piiri ry.,1015,10,Kesk
101278444786511,Kokoomus Kokkola,Kokoomuksen Kokkolan Kunnallisjärjestö,1003,9,Kok
149631468478018,Vihreät Oulussa,Vihreät Oulussa,997,21,Vihr
237721387390,Pirkanmaan Kokoomus,Pirkanmaan Kokoomus,995,21,Kok
111828953735318,Savonlinnan Seudun Perussuomalaiset,Savonlinnan Seudun Perussuomalaiset,992,28,PS
239474986149822,Lapin Keskusta,Lapin Keskusta,977,12,Kesk
1674008209292426,Pro Lahti,Pro Lahti,959,48,Ay
436592919726715,Kokoomus Vihti,Kokoomus Vihti,952,51,Kok
215548018572248,Turun Kokoomus,Turun Kokoomus,952,25,Kok
117594328411158,Pirkanmaan Vasemmisto,Pirkanmaan Vasemmistoliitto,950,21,Vas
138914456206629,Tampereen Demarinuoret,Tampereen Demarinuoret ry,947,6,SDP
1763747580516501,Sipoon Perussuomalaiset ry,Sipoon Perussuomalaiset ry,930,38,PS
336057419777613,Vaasan vaalipiirin vihreät - De Gröna i Vasa valkrets,Vaasan vaalipiirin vihreät - De Gröna i Vasa valkrets,906,12,Vihr
477467832263742,Raision SDP,Raision SDP,904,66,SDP
111832608840937,Invalidiliitto,Invalidiliitto Ry,898,32,Ry
169615716403956,Kokoomuksen Ylöjärven Kunnallisjärjestö ry,Kokoomuksen Ylöjärven Kunnallisjärjestö ry,883,8,Kok
429825903721481,Raision Vasemmistoliitto,Raision Vasemmistoliitto,865,4,Vas
159380047510809,Seinäjoen Keskusta,Seinäjoen Keskusta,856,32,Kesk
21461560968,Maailma kylässä | World Village Festival,Maailma kylässä -festivaali,836,56,Ry
844289392292867,Maanomistajain Liitto,Maanomistajain Liitto,836,5,Ry
